"","18.017x17.034","20.075x17.059","18.979x17.065","21.937x16.967","20.899x17.015","24.121x17.055","23.122x17.085","25.068x16.996","26.035x16.991","26.987x16.997","27.948x16.969","9.868x17.084","9.004x17.028","12.074x17.04","13.045x17.149","14.014x17.063","15.011x17.051","16.003x17.048","15.076x19.996","15.063x19.016","15.019x18.024","15.932x18.0","15.893x20.047","15.936x19.021","12.973x18.014","14.07x18.032","13.059x20.044","14.013x19.054","14.004x20.024","13.061x19.072","13.969x21.05","14.069x21.943","13.058x22.014","13.014x20.919","15.89x21.016","15.084x21.071","15.051x21.998","15.996x22.102","12.08x19.06","12.121x18.058","12.092x20.032","10.896x18.992","10.877x17.97","10.868x20.032","9.959x20.044","9.918x18.981","9.023x19.044","9.018x20.048","9.899x17.997","9.049x18.018","9.068x20.979","9.906x20.97","9.966x21.951","9.059x22.014","12.131x21.968","12.073x21.045","10.868x20.971","10.903x21.945","10.899x23.91","12.153x24.01","12.115x22.986","10.857x22.897","9.03x23.949","9.056x22.94","9.966x23.953","9.999x22.935","9.074x24.935","9.951x24.909","12.123x25.002","10.86x24.947","15.949x22.955","15.98x23.961","15.009x22.966","15.073x23.973","13.048x23.951","13.067x22.915","14.05x23.965","14.048x22.95","13.111x24.919","14.085x24.905","15.033x24.886","15.953x24.959","29.058x18.046","29.077x18.972","29.042x20.088","28.971x20.971","28.989x21.969","27.011x20.052","26.98x18.983","26.993x17.966","27.979x17.991","28.011x18.987","27.995x20.017","25.06x19.024","25.062x20.007","26.027x20.023","26.064x17.981","25.044x18.022","26.071x18.994","26.111x21.979","25.055x21.994","26.076x20.965","25.04x21.01","27.937x20.97","27.038x20.951","26.991x21.958","27.97x21.947","27.977x22.897","28.0x23.902","27.012x22.908","26.993x23.896","26.03x23.935","26.072x22.884","25.107x22.896","25.119x23.921","25.013x24.806","26.159x24.845","27.976x24.882","27.031x24.865","28.98x23.89","28.994x22.861","29.007x24.906","23.159x20.027","23.1x19.036","24.124x19.029","24.122x18.025","24.096x20.049","23.114x18.019","21.919x17.952","20.975x20.036","20.97x17.974","21.934x18.934","21.956x19.964","20.96x18.968","20.929x20.972","21.933x21.931","21.006x21.941","21.976x20.925","24.1x22.013","23.115x21.019","23.156x22.013","24.13x21.008","19.037x17.976","20.051x20.007","18.978x20.047","18.957x18.977","19.993x18.035","20.062x19.0","16.987x17.981","17.028x19.984","17.956x18.006","16.987x18.995","17.976x19.0","18.068x22.018","17.988x21.045","16.981x20.987","16.965x22.101","19.032x21.982","18.98x21.065","20.072x20.997","20.053x21.979","20.078x22.838","20.111x23.889","19.039x23.982","18.984x22.881","16.93x22.932","18.155x22.881","16.869x23.909","18.126x23.926","16.988x24.905","18.033x24.967","18.997x24.953","20.094x24.903","23.176x22.999","24.112x22.904","24.115x23.954","23.182x23.977","20.923x23.871","21.938x23.891","21.949x22.839","21.011x22.796","21.016x24.87","21.956x24.877","23.227x24.938","24.213x24.842","17.994x15.992","16.927x15.977","18.904x15.986","20.085x15.949","21.901x15.95","20.933x15.956","23.132x16.038","24.059x16.02","26.042x15.983","25.075x16.007","26.992x15.973","9.885x15.988","12.064x16.067","10.877x15.971","13.093x16.033","14.008x16.038","15.956x16.001","15.001x16.014","17.002x15.002","17.969x15.026","12.045x15.052","10.877x14.964","15.026x15.004","15.908x15.036","13.083x15.039","13.973x15.034","23.151x15.033","24.092x15.02","21.908x14.979","25.077x15.02","17.983x13.979","15.042x14.003","15.96x13.988","14.015x14.092","9.938x25.924","10.906x25.928","12.211x26.031","13.941x25.99","13.052x25.997","15.065x25.942","15.954x25.936","25.117x25.95","26.096x25.912","26.984x25.925","27.963x25.91","28.951x25.907","16.996x25.92","17.98x25.935","19.04x25.9","20.045x25.924","20.999x25.892","21.945x25.895","24.036x25.953","23.245x26.014","23.217x27.926","24.171x27.919","24.133x26.965","21.971x27.883","21.992x26.873","27.017x26.917","27.013x27.885","25.105x26.949","26.095x27.828","25.068x27.858","26.04x26.933","15.942x26.943","16.002x27.941","15.102x26.951","15.035x27.891","13.133x26.968","14.07x27.899","13.979x26.983","13.087x27.961","10.892x26.911","12.139x28.005","12.068x26.999","16.981x26.937","18.038x27.974","18.004x26.964","16.996x27.901","14.058x28.995","15.956x28.912","15.037x28.942","16.969x28.883","9.92x26.907","7.962x22.994","20.973x26.907","18.97x26.953","27.93x26.89","24.114x28.955","25.134x28.934","29.961x18.97"
"B3galt2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dnm3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Atp1b1",5,2,2,7,4,5,5,6,4,2,2,2,2,2,4,6,5,4,4,4,4,5,5,4,4,6,6,5,6,6,4,5,5,6,4,4,4,4,4,2,6,2,2,3,2,2,2,2,2,2,2,4,4,4,7,6,4,6,6,5,4,6,4,4,4,6,4,4,5,6,5,5,4,5,5,4,5,5,4,5,5,5,2,2,2,2,2,4,2,2,2,2,2,6,5,4,4,5,4,6,4,5,7,2,4,6,3,3,5,5,5,5,4,5,5,4,5,4,5,4,4,4,4,4,5,4,4,5,6,4,4,5,6,4,3,5,4,6,5,4,4,4,2,2,2,2,2,2,5,6,4,6,4,4,4,6,7,2,2,2,2,2,4,2,2,7,5,5,5,5,4,4,2,5,5,5,4,4,5,5,4,4,7,5,5,4,6,2,2,4,2,6,5,2,4,2,2,2,2,4,5,4,7,6,4,2,2,5,6,3,3,4,4,3,2,2,3,4,4,4,6,7,4,5,5,5,4,6,6,4,4,5,7,4,4,4,7,5,5,7,6,5,4,6,5,6,6,4,6,6,5,6,5,5,6,6,5,7,4,5,7,6,4,7,7,4,4,4,4,4,4,5,4,4,4,4,2
"Pbx1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pfdn2",1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2
"Tstd1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rgs7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Opn3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Acbd7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Celf2",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"Cacnb2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Gpsm1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Olfm1",1,1,1,2,1,3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,3,2,3,3,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,4,1,1,3,1,1,1,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,3,1,3,1,3,3,1,1,3,1,1,3,4,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,4,2,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,3,2,1,3,1,1,1,4,4,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,1,1,1,1,1,1,4,4,1,1,3,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,2,1,4,4,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,4,4,1,1,1,3,1,1,1,4,1,1,3,3,1,1,4,1,4,3,1,3,3,1,3,1,3,4,4,1,3,1,1,3,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1
"Gad1",2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,3,1,2,2,3,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,3,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,3,1,1,2,1,1,2,2,2,2,2,2,3,2,2,3,2,1
"Lrrc55",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C1qtnf4",1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"Ano3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Grem1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Meis2",2,1,1,1,2,1,3,1,2,1,1,1,1,1,2,1,2,2,2,2,2,3,2,2,2,1,1,1,1,1,2,2,3,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,3,1,2,2,3,1,3,2,2,2,3,2,2,2,2,2,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,1,2,1,1,1,2,1,2,2,1,1,1,2,2,3,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,3,2,3,1,1,1,1,1,1,1,3,1,1,1,3,1,3,1,2,2,1,3,2,3,3,2,1,1,2,3,1,2,2,3,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,3,2,2,1,1,2,2,3,3,1,1,2,3,3,2,2,1,1,2,2,3,1,2,2,2,1,3,2,1,1,2,2,1,2,1,1,3,1,1,2,1,2,1,1,1,3,1,2,3,1,1,3,1,1,3,2,2,2,2,2,2,3,3,2,2,1
"Slc20a1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
